filesystem,cloud,test-name,run-number,venv-creation(ms),pip-update(ms),pytorch-install(ms),cleanup(ms)
efs-regional,AWS,PIP venv Pytorch Install,2,27942,14986,356498,88620
same-az-lustre,AWS,PIP venv Pytorch Install,3,7713,3853,100809,8873
efs-single-zone,AWS,PIP venv Pytorch Install,3,22507,11729,265267,64452
cross-az-lustre,AWS,PIP venv Pytorch Install,1,18123,10513,291297,28858
efs-single-zone,AWS,PIP venv Pytorch Install,2,22198,11910,289270,65595
same-az-lustre,AWS,PIP venv Pytorch Install,2,7692,3850,99846,8848
efs-regional,AWS,PIP venv Pytorch Install,3,28834,15567,350992,92883
same-az-zfs,AWS,PIP venv Pytorch Install,1,6978,3600,120227,11683
cross-az-lustre,AWS,PIP venv Pytorch Install,3,17936,9798,201878,29426
same-az-lustre,AWS,PIP venv Pytorch Install,1,7741,4423,205103,8976
efs-single-zone,AWS,PIP venv Pytorch Install,1,23629,13886,392059,65449
same-az-zfs,AWS,PIP venv Pytorch Install,2,6865,3333,102679,12625
cross-az-lustre,AWS,PIP venv Pytorch Install,2,17934,9817,201901,28739
same-az-zfs,AWS,PIP venv Pytorch Install,3,6862,3344,100313,12877
efs-regional,AWS,PIP venv Pytorch Install,1,30560,16275,432273,87095
ebs-local-storage,AWS,PIP venv Pytorch Install,3,3055,1186,51118,575
rhel8-nfs-same-subnet,AWS,PIP venv Pytorch Install,3,12492,6119,159628,31094
ebs-local-storage,AWS,PIP venv Pytorch Install,2,3055,1168,50824,569
rhel8-nfs-same-subnet,AWS,PIP venv Pytorch Install,2,11737,5927,162704,32631
rhel8-nfs-same-subnet,AWS,PIP venv Pytorch Install,1,11986,6291,212904,32262
ebs-local-storage,AWS,PIP venv Pytorch Install,1,3059,1431,217549,1466
